einzelplan,einzelplan-text,einnahmen-ausgaben,einnahmen-ausgaben-art,kapitel,kapitel-text,titel,funktion,titel-text,flex,seite,soll,titelgruppe,tgr-text,Funktion 1,Funktion 2,Funktion 3,Gruppe 1,Gruppe 2,Gruppe 3,date
1,Bundespräsident und Bundespräsidialamt,Einnahmen ,Übrige Einnahmen,101,Bundespräsident,23201,187,Beteiligung der Länder an der Deutschen Künstlerhilfe und sonstige ihr zugedachte Einnahmen, ,6,0,,,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",Kultur und Religion,Sonstige Kulturpflege,Einnahmen aus Zuweisungen und Zuschüssen mit Ausnahme für Investitionen,Sonstige (zweckgebundene) Zuweisungen aus dem öffentlichen Bereich,Sonstige Zuweisungen von Ländern,2017
1,Bundespräsident und Bundespräsidialamt,Einnahmen ,Übrige Einnahmen,101,Bundespräsident,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381.1 und 381.7, ,6,0,,,Finanzwirtschaft,Haushaltstechnische Verrechnungen,Haushaltstechnische Verrechnungen,"Einnahmen aus Schuldenaufnahmen, aus Zuweisungen und Zuschüssen für Investitionen, besondere Finanzierungseinnahmen",Haushaltstechnische Verrechnungen,Verrechnungen zwischen Kapiteln,2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,Sächliche Verwaltungsausgaben,101,Bundespräsident,52901,11,Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen,nein,6,780,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 52),Verfügungsmittel,2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,Zuweisungen und Zuschüsse (ohne Investitionen),101,Bundespräsident,68101,11,"Übernahme von Patenschaften, Ausgaben aus besonderer Veranlassung und besondere Bewilligungen.",nein,6,1348,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen,Sonstige Zuschüsse für laufende Zwecke an sonstige Bereiche,"Renten, Unterstützungen und sonstige Geldleistungen an natürliche Personen",2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,Zuweisungen und Zuschüsse (ohne Investitionen),101,Bundespräsident,68401,187,Deutsche Künstlerhilfe,nein,7,2300,,,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",Kultur und Religion,Sonstige Kulturpflege,Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen,Sonstige Zuschüsse für laufende Zwecke an sonstige Bereiche,Zuschüsse für laufende Zwecke an soziale oder ähnliche Einrichtungen (ohne öffentliche Einrichtungen),2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,Besondere Finanzierungsausgaben,101,Bundespräsident,98103,890,Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981.1 und 981.7,nein,7,0,,,Finanzwirtschaft,Haushaltstechnische Verrechnungen,Haushaltstechnische Verrechnungen,Besondere Finanzierungsausgaben,Haushaltstechnische Verrechnungen,Verrechnungen zwischen Kapiteln,2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,,101,Bundespräsident,42101,11,Bezüge des Bundespräsidenten,ja,7,227,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,Personalausgaben,Bezüge und Nebenleistungen,"Bezüge des Bundespräsidenten, Bundeskanzlers, der Ministerpräsidenten, Minister, Parlamentarischen Staatssekretäre und sonstiger Amtsträger",2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,,101,Bundespräsident,42102,11,Aufwandsgeld,ja,7,78,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,Personalausgaben,Bezüge und Nebenleistungen,"Bezüge des Bundespräsidenten, Bundeskanzlers, der Ministerpräsidenten, Minister, Parlamentarischen Staatssekretäre und sonstiger Amtsträger",2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,,101,Bundespräsident,45301,11,"Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen",ja,7,53,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,Personalausgaben,Sonstige personalbezogene Ausgaben,"Trennungsgeld, Umzugskostenvergütungen",2017
1,Bundespräsident und Bundespräsidialamt,Ausgaben,,101,Bundespräsident,54501,11,"Konferenzen, Tagungen, Messen und Ausstellungen",ja,8,153,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 54),Sonstiges,2017
