ID,Haushalt Art,Titelnr.,Titel,Gruppennr.,Gruppe,Budget Richtung,Bezeichnung,Jahr,Ansatz/Rechnung,Betrag
0,Vermögenshaushalt,0,Allgemeine Verwaltung,600,Einrichtungen f.d.gesamte Verwaltung-Rathaus,Einnahmen,Verkauf von beweglichen Sachen,2015,Rechnung,0
1,Vermögenshaushalt,0,Allgemeine Verwaltung,600,Einrichtungen f.d.gesamte Verwaltung-Rathaus,Einnahmen,Tilgungszuschuss KfW für Wärmepumpe (Gebäudeneubau Rathaus),2015,Rechnung,0
2,Vermögenshaushalt,0,Allgemeine Verwaltung,600,Einrichtungen f.d.gesamte Verwaltung-Rathaus,Ausgaben,Erwerb von beweglichen Sachen des Anlagevermögens,2015,Rechnung,0
3,Vermögenshaushalt,0,Allgemeine Verwaltung,600,Einrichtungen f.d.gesamte Verwaltung-Rathaus,Ausgaben,Beschaffung von Fahrzeugen,2015,Rechnung,1751
4,Vermögenshaushalt,0,Allgemeine Verwaltung,600,Einrichtungen f.d.gesamte Verwaltung-Rathaus,Ausgaben,Gebäudeneubau Rathaus,2015,Rechnung,16400000
5,Vermögenshaushalt,0,Allgemeine Verwaltung,601,EDV-Anlage -01-,Einnahmen,Verkauf von beweglichen Sachen des Anlagevermögens,2015,Rechnung,0
6,Vermögenshaushalt,0,Allgemeine Verwaltung,601,EDV-Anlage -01-,Ausgaben,Erwerb von beweglichen Sachen des Anlagevermögens-EDV-,2015,Rechnung,150000
7,Vermögenshaushalt,1,Öffentliche Sicherheit und Ordnung,1141,Umweltschutz (Allgemeine Verwaltungsaufgaben),Ausgaben,Erwerb von beweglichen Sachen des Anlagevermögens,2015,Rechnung,20000
8,Vermögenshaushalt,1,Öffentliche Sicherheit und Ordnung,1141,Umweltschutz (Allgemeine Verwaltungsaufgaben),Ausgaben,Projektkosten Komunaler Klimaschutz (bisher HH 8161.9420),2015,Rechnung,0
9,Vermögenshaushalt,1,Öffentliche Sicherheit und Ordnung,1141,Umweltschutz (Allgemeine Verwaltungsaufgaben),Ausgaben,Zuschüsse für Investitionen übr. Bereich Energiesparmaßnahmen GR v. 27.11.2001,2015,Rechnung,0
10,Vermögenshaushalt,1,Öffentliche Sicherheit und Ordnung,1300,FFW Gilching,Einnahmen,Verkauf von beweglichen Sachen,2015,Rechnung,0
11,Vermögenshaushalt,1,Öffentliche Sicherheit und Ordnung,1300,FFW Gilching,Einnahmen,Investitionszuweisungen vom Land,2015,Rechnung,0
12,Vermögenshaushalt,1,Öffentliche Sicherheit und Ordnung,1300,FFW Gilching,Einnahmen,Spenden von privaten Unternehmen,2015,Rechnung,0
13,Vermögenshaushalt,1,Öffentliche Sicherheit und Ordnung,1300,FFW Gilching,Ausgaben,Erwerb von beweglichen Sachen des Anlagevermögens,2015,Rechnung,80000
14,Vermögenshaushalt,1,Öffentliche Sicherheit und Ordnung,1300,FFW Gilching,Ausgaben,Beschaffung von Fahrzeugen,2015,Rechnung,50000
15,Vermögenshaushalt,1,Öffentliche Sicherheit und Ordnung,1300,FFW Gilching,Ausgaben,"Erweiterungs-, Um- und Ausbauten",2015,Rechnung,44898
16,Vermögenshaushalt,1,Öffentliche Sicherheit und Ordnung,1301,FFW Geisenbrunn,Einnahmen,Verkauf von beweglichen Sachen,2015,Rechnung,0
17,Vermögenshaushalt,1,Öffentliche Sicherheit und Ordnung,1301,FFW Geisenbrunn,Einnahmen,Investitionszuweisungen vom Land,2015,Rechnung,0
18,Vermögenshaushalt,1,Öffentliche Sicherheit und Ordnung,1301,FFW Geisenbrunn,Ausgaben,Erwerb von beweglichen Sachen des Anlagevermögens,2015,Rechnung,44000
19,Vermögenshaushalt,1,Öffentliche Sicherheit und Ordnung,1301,FFW Geisenbrunn,Ausgaben,Beschaffung von Fahrzeugen,2015,Rechnung,20000
20,Vermögenshaushalt,1,Öffentliche Sicherheit und Ordnung,1400,"Katastrophenschutz, Zivilschutz",Ausgaben,Investitionszuschuss an den THW Förderverein Starnberg e.V.,2015,Rechnung,0
21,Vermögenshaushalt,1,Öffentliche Sicherheit und Ordnung,1600,Rettungsdienst,Ausgaben,Investitionszuschuss an die BRK Bereitschaft für Kommandowagen,2015,Rechnung,0
22,Vermögenshaushalt,2,Schulen,2110,Arnoldus-Grundschule,Einnahmen,Verkauf von beweglichen Sachen,2015,Rechnung,0
23,Vermögenshaushalt,2,Schulen,2110,Arnoldus-Grundschule,Einnahmen,Investitionszuweisungen vom Land,2015,Rechnung,0
24,Vermögenshaushalt,2,Schulen,2110,Arnoldus-Grundschule,Einnahmen,Investitionszuschüsse v. übrigen Bereich,2015,Rechnung,0
25,Vermögenshaushalt,2,Schulen,2110,Arnoldus-Grundschule,Ausgaben,Erwerb von beweglichen Sachen des Anlagevermögens,2015,Rechnung,0
