Nr;Gruppe;Bezeichnung;Jahr;Richtung;Status;Betrag
10;Allgemeine Verwaltung;Gemeindeorgane;2011;Einnahmen;Rechnungsergebnis;59496
200;Allgemeine Verwaltung;Hauptverwaltung;2011;Einnahmen;Rechnungsergebnis;26850
240;Allgemeine Verwaltung;Öffentlichkeitsarbeit;2011;Einnahmen;Rechnungsergebnis;580
300;Allgemeine Verwaltung;Finanzverwaltung (Kämmerei, Liegenschaften, Steuern);2011;Einnahmen;Rechnungsergebnis;129566
310;Allgemeine Verwaltung;Stadtkasse;2011;Einnahmen;Rechnungsergebnis;13776
500;Allgemeine Verwaltung;Standesamt;2011;Einnahmen;Rechnungsergebnis;10631
520;Allgemeine Verwaltung;Wahlen;2011;Einnahmen;Rechnungsergebnis;8048
600;Allgemeine Verwaltung;Einrichtungen für die gesamte Verwaltung;2011;Einnahmen;Rechnungsergebnis;16651
610;Allgemeine Verwaltung;Bürokommunikation / Datenbearbeitungsstelle;2011;Einnahmen;Rechnungsergebnis;100
800;Allgemeine Verwaltung;Einrichtungen für Verwaltungsangehörige;2011;Einnahmen;Rechnungsergebnis;0
1100;Öffentliche Sicherheit und Ordnung;Öffentliche Ordnung;2011;Einnahmen;Rechnungsergebnis;133675
1110;Öffentliche Sicherheit und Ordnung;Meldewesen/Einwohnerwesen;2011;Einnahmen;Rechnungsergebnis;20680
1140;Öffentliche Sicherheit und Ordnung;Grundbuchamt;2011;Einnahmen;Rechnungsergebnis;64720
1220;Öffentliche Sicherheit und Ordnung;Umweltamt;2011;Einnahmen;Rechnungsergebnis;0
1310;Öffentliche Sicherheit und Ordnung;Feuerwehr und andere Aufgaben des Brandschutzes;2011;Einnahmen;Rechnungsergebnis;19905
2111;Schulen;Goetheschute;2011;Einnahmen;Rechnungsergebnis;2732
2112;Schulen;Hebelschule;2011;Einnahmen;Rechnungsergebnis;12416
2113;Schulen;Uhlandschule;2011;Einnahmen;Rechnungsergebnis;5490
2910;Schulen;Betreuungsangebote an Schulen;2011;Einnahmen;Rechnungsergebnis;106838
2920;Schulen;Hort an der Schule;2011;Einnahmen;Rechnungsergebnis;66066
2950;Schulen;Sonstige schulische Aufgaben;2011;Einnahmen;Rechnungsergebnis;7606
2951;Schulen;Schulsozialarbeit;2011;Einnahmen;Rechnungsergebnis;0
3000;Wissenschaft, Forschung und Kulturpflege;Verwaltung kultureller Angelegenheiten;2011;Einnahmen;Rechnungsergebnis;71030
3320;Wissenschaft, Forschung und Kulturpflege;Musikpflege;2011;Einnahmen;Rechnungsergebnis;0
3330;Wissenschaft, Forschung und Kulturpflege;Musikschulen;2011;Einnahmen;Rechnungsergebnis;0
