Titelnr.,Titel,Gruppen Nr,Gruppe,Einnahmen Ausgaben,Einzel Nr,Bezeichnung,Betrag,Jahr
0,Allgemeine Verwaltung,0,"Gemeinde-, Kreis- und Bezirksorgane",Einnahmen,0.11,Benutzungsgebühren,100.0,2017
0,Allgemeine Verwaltung,0,"Gemeinde-, Kreis- und Bezirksorgane",Einnahmen,0.1101,Benutzungsgebühren und ähnliche Entgelte  -Kaffeeautomat-,0.0,2017
0,Allgemeine Verwaltung,0,"Gemeinde-, Kreis- und Bezirksorgane",Einnahmen,0.1552,Versicherungsleistungen in anderen Schadensfällen,0.0,2017
0,Allgemeine Verwaltung,0,"Gemeinde-, Kreis- und Bezirksorgane",Ausgaben,0.409,"Aufwendungen für ehrenamtliche Tätigkeit Aufwandsentsch., Sitzungsgeld",50000.0,2017
0,Allgemeine Verwaltung,0,"Gemeinde-, Kreis- und Bezirksorgane",Ausgaben,0.4099,Aufwend.f.ehrenamtl.Tätigkeit  -sonstiges Personal-Ehrensold-,0.0,2017
0,Allgemeine Verwaltung,0,"Gemeinde-, Kreis- und Bezirksorgane",Ausgaben,0.41,Beamtenbezüge,125000.0,2017
0,Allgemeine Verwaltung,0,"Gemeinde-, Kreis- und Bezirksorgane",Ausgaben,0.411,Versorgungsrücklage,1000.0,2017
0,Allgemeine Verwaltung,0,"Gemeinde-, Kreis- und Bezirksorgane",Ausgaben,0.414,Angestelltenvergütungen,50000.0,2017
0,Allgemeine Verwaltung,0,"Gemeinde-, Kreis- und Bezirksorgane",Ausgaben,0.421,Versorgungsrücklage passiv,2100.0,2017
0,Allgemeine Verwaltung,0,"Gemeinde-, Kreis- und Bezirksorgane",Ausgaben,0.43,"Beiträge zu Versorgungskassen ""Beamte""",69000.0,2017
0,Allgemeine Verwaltung,0,"Gemeinde-, Kreis- und Bezirksorgane",Ausgaben,0.434,"Beiträge zu Versorgungskassen ""Angestellte""",3500.0,2017
0,Allgemeine Verwaltung,0,"Gemeinde-, Kreis- und Bezirksorgane",Ausgaben,0.444,"Beiträge zur gesetzl. Sozialversicherung ""Angestellte""",9000.0,2017
0,Allgemeine Verwaltung,0,"Gemeinde-, Kreis- und Bezirksorgane",Ausgaben,0.459,"Beihilfen, Unterstützungen u.ä. Beihilfeversicherung",0.0,2017
0,Allgemeine Verwaltung,0,"Gemeinde-, Kreis- und Bezirksorgane",Ausgaben,0.52,Verwaltungs- u. Zweckausstattung,300.0,2017
0,Allgemeine Verwaltung,0,"Gemeinde-, Kreis- und Bezirksorgane",Ausgaben,0.5202,GWG (0 - 410  Netto),500.0,2017
0,Allgemeine Verwaltung,0,"Gemeinde-, Kreis- und Bezirksorgane",Ausgaben,0.583,Getränke,2500.0,2017
0,Allgemeine Verwaltung,0,"Gemeinde-, Kreis- und Bezirksorgane",Ausgaben,0.6313,"Belohnungen, Preise",1000.0,2017
0,Allgemeine Verwaltung,0,"Gemeinde-, Kreis- und Bezirksorgane",Ausgaben,0.6314,Städtepartnerschaften u.ä.,12000.0,2017
0,Allgemeine Verwaltung,0,"Gemeinde-, Kreis- und Bezirksorgane",Ausgaben,0.6322,EDV-Kosten an Dritte,2300.0,2017
0,Allgemeine Verwaltung,0,"Gemeinde-, Kreis- und Bezirksorgane",Ausgaben,0.64,Steuern und Versicherungen GR-Amts- u. Diensthaftplichtversicherung,700.0,2017
