Gruppierung Bezeichnung,Produktbereich,Produktbereich Bezeichnung,Produktgruppe,Produktgruppe Bezeichnung,Haushaltsjahr,Ertrag / Aufwand,Betrag,Haushalt
Abschreibungen,10,Wahlen,10.01,Wahlen,2015,Aufwendungen,11287.15,Soll
Abschreibungen,10,Wahlen,10.01,Wahlen,2016,Aufwendungen,13000.0,Soll
Abschreibungen,10,Wahlen,10.01,Wahlen,2017,Aufwendungen,6000.0,Soll
Abschreibungen,10,Wahlen,10.01,Wahlen,2018,Aufwendungen,3000.0,Plan
Abschreibungen,10,Wahlen,10.01,Wahlen,2019,Aufwendungen,3000.0,Plan
Abschreibungen,10,Wahlen,10.01,Wahlen,2020,Aufwendungen,2000.0,Plan
Abschreibungen,10,Wahlen,10.03,Integration und Antidiskriminierung,2015,Aufwendungen,20540.05,Soll
Abschreibungen,10,Wahlen,10.03,Integration und Antidiskriminierung,2016,Aufwendungen,21000.0,Soll
Abschreibungen,10,Wahlen,10.03,Integration und Antidiskriminierung,2017,Aufwendungen,23000.0,Soll
Abschreibungen,10,Wahlen,10.03,Integration und Antidiskriminierung,2018,Aufwendungen,27000.0,Plan
Abschreibungen,10,Wahlen,10.03,Integration und Antidiskriminierung,2019,Aufwendungen,23000.0,Plan
Abschreibungen,10,Wahlen,10.03,Integration und Antidiskriminierung,2020,Aufwendungen,19000.0,Plan
Abschreibungen,10,Wahlen,10.04,Gleichberechtigung für Bürgerinnen,2015,Aufwendungen,8328.0,Soll
Abschreibungen,10,Wahlen,10.04,Gleichberechtigung für Bürgerinnen,2016,Aufwendungen,6000.0,Soll
Abschreibungen,10,Wahlen,10.04,Gleichberechtigung für Bürgerinnen,2017,Aufwendungen,7000.0,Soll
Abschreibungen,10,Wahlen,10.04,Gleichberechtigung für Bürgerinnen,2018,Aufwendungen,8000.0,Plan
Abschreibungen,10,Wahlen,10.04,Gleichberechtigung für Bürgerinnen,2019,Aufwendungen,8000.0,Plan
Abschreibungen,10,Wahlen,10.04,Gleichberechtigung für Bürgerinnen,2020,Aufwendungen,7000.0,Plan
Abschreibungen,10,Wahlen,10.05,Statistik und Stadtbeobachtung,2015,Aufwendungen,27132.2,Soll
Abschreibungen,10,Wahlen,10.05,Statistik und Stadtbeobachtung,2016,Aufwendungen,20000.0,Soll
Abschreibungen,10,Wahlen,10.05,Statistik und Stadtbeobachtung,2017,Aufwendungen,20000.0,Soll
Abschreibungen,10,Wahlen,10.05,Statistik und Stadtbeobachtung,2018,Aufwendungen,34000.0,Plan
Abschreibungen,10,Wahlen,10.05,Statistik und Stadtbeobachtung,2019,Aufwendungen,37000.0,Plan
Abschreibungen,10,Wahlen,10.05,Statistik und Stadtbeobachtung,2020,Aufwendungen,41000.0,Plan
Abschreibungen,10,Wahlen,10.08,Geschäftsstelle der KAV,2015,Aufwendungen,2235.0,Soll
Abschreibungen,10,Wahlen,10.08,Geschäftsstelle der KAV,2016,Aufwendungen,3000.0,Soll
Abschreibungen,10,Wahlen,10.08,Geschäftsstelle der KAV,2017,Aufwendungen,3000.0,Soll
Abschreibungen,10,Wahlen,10.08,Geschäftsstelle der KAV,2018,Aufwendungen,3000.0,Plan
Abschreibungen,10,Wahlen,10.08,Geschäftsstelle der KAV,2019,Aufwendungen,4000.0,Plan
Abschreibungen,10,Wahlen,10.08,Geschäftsstelle der KAV,2020,Aufwendungen,4000.0,Plan
