jahr,bereich,bereichbezeichnung,produkt,produkt_bezeichnung,fibu_konto,konto_bezeichnung,art,ansatz,haushalt
2017,1,Innere Verwaltung,111102,Zentrale Dienste,528190,"Geräte pp.(<60,-€), Vorräte,Verbrauchsmaterial",Ausgaben,700,Plan
2017,5,Soziale Leistungen,531301,Leistungen für Asylbewerber,533806,Leistungen bei Krankheit pp. (§ 4 AsylblG),Ausgaben,100000,Plan
2017,3,Schulträgeraufgaben,324201,Offene Ganztagsschule,414100,Zuweisungen vom Land,Einnahmen,100000,Plan
2017,3,Schulträgeraufgaben,324201,Offene Ganztagsschule,432250,Elternbeiträge Offene Ganztagsschule,Einnahmen,100000,Plan
2017,16,Allgemeine Finanzwirtschaft,1661101,"Steuern, allgemeine Finanzzuweisungen und allgemeine Umlagen",401300,Gewerbesteuer,Einnahmen,3200000,Plan
2017,16,Allgemeine Finanzwirtschaft,1661101,"Steuern, allgemeine Finanzzuweisungen und allgemeine Umlagen",456400,Verzinsung der Gewerbesteuer nach § 233a AO,Einnahmen,15000,Plan
2017,11,Ver- und Entsorgung,1153701,Beseitigung und Verwertung von Abfällen,432210,Abfallbeseitigungsgebühren,Einnahmen,624208,Plan
2017,11,Ver- und Entsorgung,1153701,Beseitigung und Verwertung von Abfällen,431100,Verwaltungsgebühren,Einnahmen,2400,Plan
2017,16,Allgemeine Finanzwirtschaft,1661101,"Steuern, allgemeine Finanzzuweisungen und allgemeine Umlagen",401100,Grundsteuer A,Einnahmen,18200,Plan
2017,16,Allgemeine Finanzwirtschaft,1661101,"Steuern, allgemeine Finanzzuweisungen und allgemeine Umlagen",401200,Grundsteuer B,Einnahmen,1965000,Plan
2017,12,Verkehrsflächen und -anlagen ÖPNV,1254501,Straßenreinigung und Winterdienst,432200,Straßenreinigungsgebühren,Einnahmen,144792,Plan
2017,16,Allgemeine Finanzwirtschaft,1661101,"Steuern, allgemeine Finanzzuweisungen und allgemeine Umlagen",403200,Hundesteuer,Einnahmen,85000,Plan
2017,16,Allgemeine Finanzwirtschaft,1661101,"Steuern, allgemeine Finanzzuweisungen und allgemeine Umlagen",403100,Vergnügungssteuer,Einnahmen,35000,Plan
2017,1,Innere Verwaltung,111101,"Verwaltungsführung,Rat und Ausschüsse,Fraktionen",542100,Aufwendungen für ehrenamtl. und sonstige Tätigkeit,Ausgaben,133000,Plan
