art_label,produktbereich_name,produktbereich_label,amount,time_year,produktgruppe_name,produktgruppe_label
Ertrag,1,Innere Verwaltung,66051,2015,101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten"
Aufwand,1,Innere Verwaltung,17056516,2015,101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten"
Ertrag,1,Innere Verwaltung,2200325,2015,102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen"
Aufwand,1,Innere Verwaltung,6168044,2015,102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen"
Ertrag,1,Innere Verwaltung,40853395,2015,103,Personal- und Organisationsmanagement
Aufwand,1,Innere Verwaltung,139189997,2015,103,Personal- und Organisationsmanagement
Ertrag,1,Innere Verwaltung,5742344,2015,104,IT- und Kommunikationsdienste
Aufwand,1,Innere Verwaltung,41588791,2015,104,IT- und Kommunikationsdienste
Ertrag,1,Innere Verwaltung,0,2015,105,Organisationsmanagement
Aufwand,1,Innere Verwaltung,0,2015,105,Organisationsmanagement
Ertrag,1,Innere Verwaltung,4296511,2015,106,Zentrale Dienstleistungen
Aufwand,1,Innere Verwaltung,49930049,2015,106,Zentrale Dienstleistungen
Ertrag,1,Innere Verwaltung,4162413,2015,107,Rechts- und Versicherungsangelegenheiten
Aufwand,1,Innere Verwaltung,11492262,2015,107,Rechts- und Versicherungsangelegenheiten
Ertrag,1,Innere Verwaltung,90962921,2015,108,Zentrale Liegenschaftsangelegenheiten
Aufwand,1,Innere Verwaltung,33884385,2015,108,Zentrale Liegenschaftsangelegenheiten
Ertrag,1,Innere Verwaltung,8304898,2015,109,Kasse und Veranlagung gemeindl. Abgaben
Aufwand,1,Innere Verwaltung,28227173,2015,109,Kasse und Veranlagung gemeindl. Abgaben
Ertrag,1,Innere Verwaltung,305174,2015,110,"Controlling, Finanzsteuerung, Rechungswesen"
Aufwand,1,Innere Verwaltung,12219206,2015,110,"Controlling, Finanzsteuerung, Rechungswesen"
Ertrag,1,Innere Verwaltung,1445677,2015,111,Sonstige Innere Verwaltung
Aufwand,1,Innere Verwaltung,29380474,2015,111,Sonstige Innere Verwaltung
Ertrag,2,Sicherheit und Ordnung,3419872,2015,201,Allgemeine Sicherheit und Ordnung
Aufwand,2,Sicherheit und Ordnung,17697933,2015,201,Allgemeine Sicherheit und Ordnung
Ertrag,2,Sicherheit und Ordnung,2172504,2015,202,Gewerbewesen
Aufwand,2,Sicherheit und Ordnung,2996717,2015,202,Gewerbewesen
Ertrag,2,Sicherheit und Ordnung,4609086,2015,203,Märkte
Aufwand,2,Sicherheit und Ordnung,5021111,2015,203,Märkte
Ertrag,2,Sicherheit und Ordnung,14032315,2015,204,Verkehrs- u. Kfz.-Wesen
Aufwand,2,Sicherheit und Ordnung,10241554,2015,204,Verkehrs- u. Kfz.-Wesen
Ertrag,2,Sicherheit und Ordnung,41214731,2015,205,Verkehrsüberwachung
Aufwand,2,Sicherheit und Ordnung,27892524,2015,205,Verkehrsüberwachung
Ertrag,2,Sicherheit und Ordnung,1234800,2015,206,Verbraucherschutz und Veterinäraufsicht
Aufwand,2,Sicherheit und Ordnung,6687763,2015,206,Verbraucherschutz und Veterinäraufsicht
Ertrag,2,Sicherheit und Ordnung,6482865,2015,207,Einwohnerangelegenheiten
Aufwand,2,Sicherheit und Ordnung,12684526,2015,207,Einwohnerangelegenheiten
Ertrag,2,Sicherheit und Ordnung,2011313,2015,208,Personenstandswesen
Aufwand,2,Sicherheit und Ordnung,4703191,2015,208,Personenstandswesen
Ertrag,2,Sicherheit und Ordnung,6528453,2015,209,Ausländerangelegenheiten
Aufwand,2,Sicherheit und Ordnung,19150567,2015,209,Ausländerangelegenheiten
Ertrag,2,Sicherheit und Ordnung,100,2015,210,Statistik und Informationsmanagement
Aufwand,2,Sicherheit und Ordnung,1832640,2015,210,Statistik und Informationsmanagement
Ertrag,2,Sicherheit und Ordnung,0,2015,211,Wahlen
Aufwand,2,Sicherheit und Ordnung,4492694,2015,211,Wahlen
Ertrag,2,Sicherheit und Ordnung,47958598,2015,212,"Brand- u. Bevölkerungsschutz, Rettungsdienst"
Aufwand,2,Sicherheit und Ordnung,130280224,2015,212,"Brand- u. Bevölkerungsschutz, Rettungsdienst"
Ertrag,2,Sicherheit und Ordnung,0,2015,213,Einwohner- und Bürgerbefragungen
Aufwand,2,Sicherheit und Ordnung,50000,2015,213,Einwohner- und Bürgerbefragungen
Ertrag,3,Schulträgeraufgaben,136211262,2015,301,Schulträgeraufgaben
Aufwand,3,Schulträgeraufgaben,411875993,2015,301,Schulträgeraufgaben
Ertrag,4,Kultur und Wissenschaft,218601,2015,401,Museumsreferat
Aufwand,4,Kultur und Wissenschaft,9903733,2015,401,Museumsreferat
Ertrag,4,Kultur und Wissenschaft,5239069,2015,402,Museum Ludwig
Aufwand,4,Kultur und Wissenschaft,15680832,2015,402,Museum Ludwig
Ertrag,4,Kultur und Wissenschaft,565998,2015,403,Römisch-Germanisches Museum
Aufwand,4,Kultur und Wissenschaft,3111835,2015,403,Römisch-Germanisches Museum
