ID ,Haushaltsjahr ,Haushaltsart ,Einzelplan ,Bezeichnung EP ,Gliederung ,Bezeichnung Gliederung ,Bezeichnung HSt ,Einnahme/Ausgabe ,Betrag ,Plan/Ergebnis
1 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Erstattungen durch kommunale Sonderrechnungen (GWF) ,Einnahme ,190800 ,Plan
2 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Erstattungen durch kommunale Sonderrechnungen (SAh) ,Einnahme ,65000 ,Plan
3 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Erstattungen von Eigenbetrieben (StEF) ,Einnahme ,133100 ,Plan
4 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Innere Verrechnung Verwaltungskostenbeiträge ,Einnahme ,435900 ,Plan
5 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Aufwendungen für ehrenamtliche Tätigkeit ,Ausgabe ,653500 ,Plan
6 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Beamtenbezüge ,Ausgabe ,205600 ,Plan
7 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,"Zuführungen zur Versorgungsrücklage ""Beamte""" ,Ausgabe ,1200 ,Plan
8 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Entgelte für tariflich Beschäftigte ,Ausgabe ,159600 ,Plan
9 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,"Versorgungsbezüge ""Beamte""" ,Ausgabe ,109000 ,Plan
10 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,"Zuführungen zur Versorgungs- rücklage ""Ruhegehaltsempf.""" ,Ausgabe ,3100 ,Plan
11 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,"Beiträge zu Versorgungskassen ""Tariflich Beschäftigte""" ,Ausgabe ,12400 ,Plan
12 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,"Beiträge zur gesetzlichen Sozialversicherung ""Tariflich Beschäftigte""" ,Ausgabe ,30600 ,Plan
13 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Personalnebenausgaben ZVK-Pauschalsteuer ,Ausgabe ,700 ,Plan
14 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Personalnebenausgaben Sachzuwendungen/ Leistungsanreize ,Ausgabe ,50 ,Plan
15 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Verwaltungs- und Zweckausstattung ,Ausgabe ,300 ,Plan
16 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Sonstige Gebrauchsgegenstände ,Ausgabe ,700 ,Plan
17 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Leasing von Maschinen  Geräte  Fahrzeuge ,Ausgabe ,10000 ,Plan
18 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Haltung von Fahrzeugen ,Ausgabe ,2400 ,Plan
19 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Betriebs- und Schmierstoffe (Kfz) ,Ausgabe ,6600 ,Plan
20 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Kfz-Steuer ,Ausgabe ,1000 ,Plan
21 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Kfz-Versicherungen ,Ausgabe ,5600 ,Plan
22 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Dienst- und Schutzkleidung  pers. Ausrüstungsgegenstände ,Ausgabe ,900 ,Plan
23 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Fortbildung und Umschulung ,Ausgabe ,300 ,Plan
24 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Gemeinschaftsveranstaltungen ,Ausgabe ,2300 ,Plan
25 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Feiern  Ehrungen ,Ausgabe ,16800 ,Plan
26 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Öffentlichkeitsarbeit ,Ausgabe ,1500 ,Plan
27 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Sachbedarf für EDV-Anlagen (Betrieb Multifunktionsgeräte) ,Ausgabe ,900 ,Plan
28 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Allgemeiner Bürobedarf ,Ausgabe ,3000 ,Plan
29 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Bücher und Zeitschriften ,Ausgabe ,100 ,Plan
30 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Postgebühren ,Ausgabe ,4000 ,Plan
31 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Dienstfahrten ,Ausgabe ,2200 ,Plan
32 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Reise- und Fahrtkosten ,Ausgabe ,1800 ,Plan
33 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Honorare und Ähnl. ,Ausgabe ,1300 ,Plan
34 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Verdienstausfallentschädigung ,Ausgabe ,10000 ,Plan
35 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Geschäftsausgaben (Verpflegung) ,Ausgabe ,1000 ,Plan
36 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Sonstige Geschäftsausgaben ,Ausgabe ,100 ,Plan
37 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Sonstige Geschäftsausgaben ,Ausgabe ,300 ,Plan
38 ,2019 ,Verwaltung ,0 ,Allgemeine Verwaltung ,0 ,Stadtrat ,Verfügungsmittel (OBM) ,Ausgabe ,6400 ,Plan
