ID,Produktbereich 1,Produkt 1,Bezeichnung 1,Jahr,Betrag,Richtung,HH-Art
1,Innere Verwaltung,Öffentlichkeitsarbeit,Privatrechtliche Leistungsentgelte,2018,85500,Ertrag,Plan
2,Innere Verwaltung,Öffentlichkeitsarbeit,Personalaufwendungen,2018,1762164,Aufwand,Plan
3,Innere Verwaltung,Öffentlichkeitsarbeit,Versorgungsaufwendungen,2018,163500,Aufwand,Plan
4,Innere Verwaltung,Öffentlichkeitsarbeit,Aufwendungen für Sach- und Dienstleistungen,2018,1449,Aufwand,Plan
5,Innere Verwaltung,Öffentlichkeitsarbeit,Bilanzielle Abschreibungen,2018,8650,Aufwand,Plan
6,Innere Verwaltung,Öffentlichkeitsarbeit,Sonstige ordentliche Aufwendungen,2018,638005,Aufwand,Plan
7,Innere Verwaltung,Öffentlichkeitsarbeit,Erträge aus internen Leistungsbeziehungen,2018,5720,Ertrag,Plan
8,Innere Verwaltung,Rechnungsprüfung,Privatrechtliche Leistungsentgelte,2018,85548,Ertrag,Plan
9,Innere Verwaltung,Rechnungsprüfung,Sonstige ordentliche Erträge,2018,100,Ertrag,Plan
10,Innere Verwaltung,Rechnungsprüfung,Personalaufwendungen,2018,3501379,Aufwand,Plan
11,Innere Verwaltung,Rechnungsprüfung,Versorgungsaufwendungen,2018,658200,Aufwand,Plan
12,Innere Verwaltung,Rechnungsprüfung,Aufwendungen für Sach- und Dienstleistungen,2018,600,Aufwand,Plan
13,Innere Verwaltung,Rechnungsprüfung,Bilanzielle Abschreibungen,2018,8900,Aufwand,Plan
14,Innere Verwaltung,Rechnungsprüfung,Sonstige ordentliche Aufwendungen,2018,42431,Aufwand,Plan
15,Innere Verwaltung,Rechnungsprüfung,Erträge aus internen Leistungsbeziehungen,2018,6588,Ertrag,Plan
16,Innere Verwaltung,Leistungen für Beschäftigte,Personalaufwendungen,2018,1773200,Aufwand,Plan
17,Innere Verwaltung,Leistungen für Beschäftigte,Versorgungsaufwendungen,2018,160400,Aufwand,Plan
18,Innere Verwaltung,Leistungen für Beschäftigte,Bilanzielle Abschreibungen,2018,9400,Aufwand,Plan
19,Innere Verwaltung,Leistungen für Beschäftigte,Sonstige ordentliche Aufwendungen,2018,161376,Aufwand,Plan
20,Innere Verwaltung,Gebäudemanagement,Zuwendungen und allgemeine Umlagen,2018,3041710,Ertrag,Plan
21,Innere Verwaltung,Gebäudemanagement,Privatrechtliche Leistungsentgelte,2018,5316183,Ertrag,Plan
22,Innere Verwaltung,Gebäudemanagement,Kostenerstattungen und Kostenumlagen,2018,37500,Ertrag,Plan
23,Innere Verwaltung,Gebäudemanagement,Sonstige ordentliche Erträge,2018,80000,Ertrag,Plan
24,Innere Verwaltung,Gebäudemanagement,Aktivierte Eigenleistungen,2018,36000,Ertrag,Plan
25,Innere Verwaltung,Gebäudemanagement,Personalaufwendungen,2018,15132997,Aufwand,Plan
26,Innere Verwaltung,Gebäudemanagement,Versorgungsaufwendungen,2018,993300,Aufwand,Plan
27,Innere Verwaltung,Gebäudemanagement,Aufwendungen für Sach- und Dienstleistungen,2018,80519189,Aufwand,Plan
28,Innere Verwaltung,Gebäudemanagement,Bilanzielle Abschreibungen,2018,23497171,Aufwand,Plan
29,Innere Verwaltung,Gebäudemanagement,Transferaufwendungen,2018,497781,Aufwand,Plan
30,Innere Verwaltung,Gebäudemanagement,Sonstige ordentliche Aufwendungen,2018,15320742,Aufwand,Plan
31,Innere Verwaltung,Gebäudemanagement,Erträge aus internen Leistungsbeziehungen,2018,13808753,Ertrag,Plan
32,Innere Verwaltung,Immobilienhandel,Zuwendungen und allgemeine Umlagen,2018,8271,Ertrag,Plan
33,Innere Verwaltung,Immobilienhandel,Privatrechtliche Leistungsentgelte,2018,14250000,Ertrag,Plan
34,Innere Verwaltung,Immobilienhandel,Sonstige ordentliche Erträge,2018,41702000,Ertrag,Plan
35,Innere Verwaltung,Immobilienhandel,Personalaufwendungen,2018,3060028,Aufwand,Plan
36,Innere Verwaltung,Immobilienhandel,Versorgungsaufwendungen,2018,577400,Aufwand,Plan
37,Innere Verwaltung,Immobilienhandel,Aufwendungen für Sach- und Dienstleistungen,2018,3615000,Aufwand,Plan
38,Innere Verwaltung,Immobilienhandel,Bilanzielle Abschreibungen,2018,23155,Aufwand,Plan
39,Innere Verwaltung,Immobilienhandel,Transferaufwendungen,2018,4548,Aufwand,Plan
40,Innere Verwaltung,Immobilienhandel,Sonstige ordentliche Aufwendungen,2018,1258418,Aufwand,Plan
41,Innere Verwaltung,Immobilienhandel,Finanzerträge,2018,166000,Ertrag,Plan
42,Innere Verwaltung,Immobilienhandel,Zinsen und sonstige Finanzaufwendungen,2018,145000,Aufwand,Plan
43,Innere Verwaltung,Interne Rechtsberatung und -vertretung,Privatrechtliche Leistungsentgelte,2018,100,Ertrag,Plan
44,Innere Verwaltung,Interne Rechtsberatung und -vertretung,Kostenerstattungen und Kostenumlagen,2018,1723800,Ertrag,Plan
