Produktbereich,Produktgruppe,Produktbereichsname,Produktgruppenbezeichnung,Jahr,Richtung,Betrag,Betrag-Typ
01,0101,Innere Verwaltung,Bezirksvertretungen (frei verfügbare Mittel),2007,Aufwendungen,0,Ergebnis
01,0102,Innere Verwaltung,"Geschäftsführung für politische Gremien, Städtepartnerschaften",2007,Erträge,83396.57,Ergebnis
01,0102,Innere Verwaltung,"Geschäftsführung für politische Gremien, Städtepartnerschaften",2007,Aufwendungen,3025165.2,Ergebnis
01,0103,Innere Verwaltung,"OBM, BM und Verwaltungsführung",2007,Erträge,77586.72,Ergebnis
01,0103,Innere Verwaltung,"OBM, BM und Verwaltungsführung",2007,Aufwendungen,2438892.26,Ergebnis
01,0104,Innere Verwaltung,Gleichstellung von Frau und Mann,2007,Erträge,34394.52,Ergebnis
01,0104,Innere Verwaltung,Gleichstellung von Frau und Mann,2007,Aufwendungen,525136.29,Ergebnis
01,0105,Innere Verwaltung,Personal- und Schwerbehindertenvertretung,2007,Erträge,79700,Ergebnis
01,0105,Innere Verwaltung,Personal- und Schwerbehindertenvertretung,2007,Aufwendungen,461014.85,Ergebnis
01,0106,Innere Verwaltung,Wirtschaftlichkeitsprüfung und Revision,2007,Erträge,50005,Ergebnis
01,0106,Innere Verwaltung,Wirtschaftlichkeitsprüfung und Revision,2007,Aufwendungen,819378.17,Ergebnis
01,0107,Innere Verwaltung,Public Relations,2007,Erträge,110177.37,Ergebnis
01,0107,Innere Verwaltung,Public Relations,2007,Aufwendungen,1009365.59,Ergebnis
01,0108,Innere Verwaltung,Personal- und Organisationsmanagement,2007,Erträge,595146.47,Ergebnis
01,0108,Innere Verwaltung,Personal- und Organisationsmanagement,2007,Aufwendungen,3733210.94,Ergebnis
01,0109,Innere Verwaltung,Finanz- und Beteiligungsmanagement,2007,Erträge,0,Ergebnis
01,0109,Innere Verwaltung,Finanz- und Beteiligungsmanagement,2007,Aufwendungen,0,Ergebnis
01,0110,Innere Verwaltung,Recht,2007,Erträge,673505.99,Ergebnis
01,0110,Innere Verwaltung,Recht,2007,Aufwendungen,2639150.86,Ergebnis
01,0111,Innere Verwaltung,Immobilienmanagement,2007,Erträge,18071047.81,Ergebnis
01,0111,Innere Verwaltung,Immobilienmanagement,2007,Aufwendungen,14972527.48,Ergebnis
01,0112,Innere Verwaltung,Gebäudemanagement,2007,Erträge,7201238.11,Ergebnis
01,0112,Innere Verwaltung,Gebäudemanagement,2007,Aufwendungen,58235895.48,Ergebnis
01,0113,Innere Verwaltung,Zentrale Dienste,2007,Erträge,1287725.66,Ergebnis
01,0113,Innere Verwaltung,Zentrale Dienste,2007,Aufwendungen,2615659.96,Ergebnis
01,0114,Innere Verwaltung,Stiftungsmanagement,2007,Erträge,0,Ergebnis
01,0114,Innere Verwaltung,Stiftungsmanagement,2007,Aufwendungen,0,Ergebnis
01,0115,Innere Verwaltung,IT-Management (citeq),2007,Erträge,0,Ergebnis
01,0115,Innere Verwaltung,IT-Management (citeq),2007,Aufwendungen,0,Ergebnis
01,0116,Innere Verwaltung,Migrations- und Integrationsmanagement,2007,Erträge,0,Ergebnis
01,0116,Innere Verwaltung,Migrations- und Integrationsmanagement,2007,Aufwendungen,0,Ergebnis
02,0201,Sicherheit und Ordnung,Ordnungsrechtliche Angelegenheiten,2007,Erträge,536447.48,Ergebnis
02,0201,Sicherheit und Ordnung,Ordnungsrechtliche Angelegenheiten,2007,Aufwendungen,1541986.41,Ergebnis
02,0202,Sicherheit und Ordnung,Gewerberechtliche Angelegenheiten,2007,Erträge,1489905.66,Ergebnis
02,0202,Sicherheit und Ordnung,Gewerberechtliche Angelegenheiten,2007,Aufwendungen,1071239.53,Ergebnis
02,0203,Sicherheit und Ordnung,Straßenverkehrsrechtliche Angelegenheiten,2007,Erträge,7764468.02,Ergebnis
02,0203,Sicherheit und Ordnung,Straßenverkehrsrechtliche Angelegenheiten,2007,Aufwendungen,4729822.71,Ergebnis
02,0204,Sicherheit und Ordnung,Bürgerangelegenheiten,2007,Erträge,0,Ergebnis
02,0204,Sicherheit und Ordnung,Bürgerangelegenheiten,2007,Aufwendungen,0,Ergebnis
02,0205,Sicherheit und Ordnung,Standesamtsangelegenheiten,2007,Erträge,0,Ergebnis
02,0205,Sicherheit und Ordnung,Standesamtsangelegenheiten,2007,Aufwendungen,0,Ergebnis
02,0206,Sicherheit und Ordnung,Ausländerangelegenheiten,2007,Erträge,277172.76,Ergebnis
02,0206,Sicherheit und Ordnung,Ausländerangelegenheiten,2007,Aufwendungen,1138641.76,Ergebnis
02,0207,Sicherheit und Ordnung,Statistik,2007,Erträge,2245,Ergebnis
02,0207,Sicherheit und Ordnung,Statistik,2007,Aufwendungen,512000.26,Ergebnis
02,0208,Sicherheit und Ordnung,Wahlen,2007,Erträge,0,Ergebnis
02,0208,Sicherheit und Ordnung,Wahlen,2007,Aufwendungen,0,Ergebnis
02,0209,Sicherheit und Ordnung,Brandschutz und feuerwehrtechnische Hilfeleistung,2007,Erträge,0,Ergebnis
02,0209,Sicherheit und Ordnung,Brandschutz und feuerwehrtechnische Hilfeleistung,2007,Aufwendungen,0,Ergebnis
02,0210,Sicherheit und Ordnung,Rettungsdienst,2007,Erträge,0,Ergebnis
02,0210,Sicherheit und Ordnung,Rettungsdienst,2007,Aufwendungen,0,Ergebnis
02,0211,Sicherheit und Ordnung,Veterinär- und Lebensmittelangelegenheiten,2007,Erträge,0,Ergebnis
02,0211,Sicherheit und Ordnung,Veterinär- und Lebensmittelangelegenheiten,2007,Aufwendungen,0,Ergebnis
03,0301,Schulträgeraufgaben,Leistungen für Schulen,2007,Erträge,4438622.29,Ergebnis
03,0301,Schulträgeraufgaben,Leistungen für Schulen,2007,Aufwendungen,24745480.17,Ergebnis
03,0302,Schulträgeraufgaben,Zentrale Leistungen für Schüler/-innen und am Schulleben Beteiligte,2007,Erträge,401970.25,Ergebnis
03,0302,Schulträgeraufgaben,Zentrale Leistungen für Schüler/-innen und am Schulleben Beteiligte,2007,Aufwendungen,8890570.35,Ergebnis
04,0401,Kultur und Wissenschaft,Kulturmanagement / Kulturförderung,2007,Erträge,800432.67,Ergebnis
04,0401,Kultur und Wissenschaft,Kulturmanagement / Kulturförderung,2007,Aufwendungen,4354304.86,Ergebnis
04,0402,Kultur und Wissenschaft,Volkshochschule,2007,Erträge,2646243.56,Ergebnis
04,0402,Kultur und Wissenschaft,Volkshochschule,2007,Aufwendungen,3297617.5,Ergebnis
04,0403,Kultur und Wissenschaft,Westf. Schule für Musik und Förderung der Stadtteilmusikschulen,2007,Erträge,1732070.49,Ergebnis
04,0403,Kultur und Wissenschaft,Westf. Schule für Musik und Förderung der Stadtteilmusikschulen,2007,Aufwendungen,3821591.82,Ergebnis
04,0404,Kultur und Wissenschaft,Stadtbücherei und Förderung von Büchereien freier Träger,2007,Erträge,917893.46,Ergebnis
04,0404,Kultur und Wissenschaft,Stadtbücherei und Förderung von Büchereien freier Träger,2007,Aufwendungen,4155602.53,Ergebnis
04,0405,Kultur und Wissenschaft,Stadtmuseum,2007,Erträge,218815.75,Ergebnis
04,0405,Kultur und Wissenschaft,Stadtmuseum,2007,Aufwendungen,1266129.53,Ergebnis
04,0406,Kultur und Wissenschaft,Stadtarchiv,2007,Erträge,8362.51,Ergebnis
04,0406,Kultur und Wissenschaft,Stadtarchiv,2007,Aufwendungen,592216.43,Ergebnis
04,0407,Kultur und Wissenschaft,Städtische Bühnen,2007,Erträge,0,Ergebnis
04,0407,Kultur und Wissenschaft,Städtische Bühnen,2007,Aufwendungen,0,Ergebnis
04,0408,Kultur und Wissenschaft,Geschichtsort Villa ten Hompel,2007,Erträge,147323.14,Ergebnis
04,0408,Kultur und Wissenschaft,Geschichtsort Villa ten Hompel,2007,Aufwendungen,485911.06,Ergebnis
05,0501,Soziale Leistungen,Leistungen der Grundsicherung nach dem SGB II,2007,Erträge,0,Ergebnis
05,0501,Soziale Leistungen,Leistungen der Grundsicherung nach dem SGB II,2007,Aufwendungen,0,Ergebnis
05,0502,Soziale Leistungen,Sicherung des Lebensunterhalts (ohne SGB II),2007,Erträge,0,Ergebnis
05,0502,Soziale Leistungen,Sicherung des Lebensunterhalts (ohne SGB II),2007,Aufwendungen,0,Ergebnis
05,0503,Soziale Leistungen,Sicherung besonderer sozialer Bedarfe,2007,Erträge,0,Ergebnis
05,0503,Soziale Leistungen,Sicherung besonderer sozialer Bedarfe,2007,Aufwendungen,0,Ergebnis
05,0504,Soziale Leistungen,Wohngeld,2007,Erträge,0,Ergebnis
05,0504,Soziale Leistungen,Wohngeld,2007,Aufwendungen,0,Ergebnis
05,0505,Soziale Leistungen,Lastenausgleich,2007,Erträge,0,Ergebnis
05,0505,Soziale Leistungen,Lastenausgleich,2007,Aufwendungen,0,Ergebnis
06,0601,"Kunder-, Jugend und Familienhilfe",Förderung von Kindern in Tagesbetreuung,2007,Erträge,0,Ergebnis
06,0601,"Kunder-, Jugend und Familienhilfe",Förderung von Kindern in Tagesbetreuung,2007,Aufwendungen,0,Ergebnis
06,0602,"Kunder-, Jugend und Familienhilfe",Kinder- und Jugendarbeit,2007,Erträge,0,Ergebnis
06,0602,"Kunder-, Jugend und Familienhilfe",Kinder- und Jugendarbeit,2007,Aufwendungen,0,Ergebnis
06,0603,"Kunder-, Jugend und Familienhilfe",Förd.von benachteiligten jungen Menschen,2007,Erträge,0,Ergebnis
06,0603,"Kunder-, Jugend und Familienhilfe",Förd.von benachteiligten jungen Menschen,2007,Aufwendungen,0,Ergebnis
06,0604,"Kunder-, Jugend und Familienhilfe",Familienförderung,2007,Erträge,0,Ergebnis
06,0604,"Kunder-, Jugend und Familienhilfe",Familienförderung,2007,Aufwendungen,0,Ergebnis
06,0605,"Kunder-, Jugend und Familienhilfe",Erzieherische und wirtschaftliche Hilfen für Familien,2007,Erträge,0,Ergebnis
06,0605,"Kunder-, Jugend und Familienhilfe",Erzieherische und wirtschaftliche Hilfen für Familien,2007,Aufwendungen,0,Ergebnis
07,0701,Gesundheitsdienste,Gesundheitsdienste,2007,Erträge,0,Ergebnis
07,0701,Gesundheitsdienste,Gesundheitsdienste,2007,Aufwendungen,0,Ergebnis
08,0801,Sportförderung,"Sportentwicklung, Sportanlagen und -stätten",2007,Erträge,596611.4,Ergebnis
