Identifikation;Fachbereich;Produkt;Konto;Haushaltsjahr;Budgetrichtung;Ansatz
1;Bürgerservice;Brandschutz/Technische Hilfe;Kostenerstattungen von Gemeinden;2018;Ertrag;250
2;Bürgerservice;Brandschutz/Technische Hilfe;Mieten und Pachten;2018;Ertrag;1000
3;Bürgerservice;Brandschutz/Technische Hilfe;Sonstige Erträge;2018;Ertrag;6500
4;Bürgerservice;Brandschutz/Technische Hilfe;Kostenerstattungen vom privaten Bereich;2018;Ertrag;20000
5;Bürgerservice;Brandschutz/Technische Hilfe;Auflösung von Sonderposten;2018;Ertrag;54000
6;Bürgerservice;Brandschutz/Technische Hilfe;Pauschalierte Lohnsteuer;2018;Aufwand;300
7;Bürgerservice;Brandschutz/Technische Hilfe;Abschreibungen auf immaterielles Vermögen;2018;Aufwand;400
8;Bürgerservice;Brandschutz/Technische Hilfe;Gebäudebewirtschaftung;2018;Aufwand;1000
9;Bürgerservice;Brandschutz/Technische Hilfe;Inanspruchnahme von Rechten und Diensten;2018;Aufwand;1000
10;Bürgerservice;Brandschutz/Technische Hilfe;Leistungszulagen;2018;Aufwand;1000
11;Bürgerservice;Brandschutz/Technische Hilfe;Reisekosten;2018;Aufwand;1000
12;Bürgerservice;Brandschutz/Technische Hilfe;Fachliteratur, Zeitschriften;2018;Aufwand;2000
13;Bürgerservice;Brandschutz/Technische Hilfe;Unhaltung von Maschinen und techn. Anlagen;2018;Aufwand;2000
14;Bürgerservice;Brandschutz/Technische Hilfe;Versorgungskasse Arbeitnehmer;2018;Aufwand;3800
15;Bürgerservice;Brandschutz/Technische Hilfe;Lizenzaufwendungen;2018;Aufwand;4000
16;Bürgerservice;Brandschutz/Technische Hilfe;Mieten und Pachten;2018;Aufwand;5000
17;Bürgerservice;Brandschutz/Technische Hilfe;Telefon, Datenübertragung;2018;Aufwand;6000
18;Bürgerservice;Brandschutz/Technische Hilfe;Dienstbezüge;2018;Aufwand;6200
19;Bürgerservice;Brandschutz/Technische Hilfe;Sonstige Aufwendungen;2018;Aufwand;8000
20;Bürgerservice;Brandschutz/Technische Hilfe;Sozialversicherung Arbeitnehmer;2018;Aufwand;9800
21;Bürgerservice;Brandschutz/Technische Hilfe;Betriebs- und Schmierstoffe;2018;Aufwand;12000
22;Bürgerservice;Brandschutz/Technische Hilfe;Kfz-Versicherungen;2018;Aufwand;12000
23;Bürgerservice;Brandschutz/Technische Hilfe;Kostenerstattung na den privaten Bereich;2018;Aufwand;15000
24;Bürgerservice;Brandschutz/Technische Hilfe;Abschreibungen auf BGA;2018;Aufwand;17000
25;Bürgerservice;Brandschutz/Technische Hilfe;Aus- und Fortbildung;2018;Aufwand;20000
26;Bürgerservice;Brandschutz/Technische Hilfe;Unterhaltung BGA;2018;Aufwand;20000
27;Bürgerservice;Brandschutz/Technische Hilfe;Versicherungsbeiträge;2018;Aufwand;20000
28;Bürgerservice;Brandschutz/Technische Hilfe;Abschreibungen auf bebaute Grundstücke;2018;Aufwand;25000
29;Bürgerservice;Brandschutz/Technische Hilfe;Personalnebenaufwendungen;2018;Aufwand;25000
30;Bürgerservice;Brandschutz/Technische Hilfe;Aufwendungen f. Energie, Wasser/Abwasser etc.;2018;Aufwand;28000
31;Bürgerservice;Brandschutz/Technische Hilfe;Dienst- und Schutzkleidung;2018;Aufwand;30000
32;Bürgerservice;Brandschutz/Technische Hilfe;Geringwertige Wirtschaftsgüter;2018;Aufwand;30000
33;Bürgerservice;Brandschutz/Technische Hilfe;Aufwandsentschädigungen;2018;Aufwand;35000
34;Bürgerservice;Brandschutz/Technische Hilfe;Wartungs- und Instandsetzungskosten;2018;Aufwand;35000
35;Bürgerservice;Brandschutz/Technische Hilfe;Gebäudeunterhaltung;2018;Aufwand;45000
36;Bürgerservice;Brandschutz/Technische Hilfe;Vergütungen;2018;Aufwand;49000
37;Bürgerservice;Brandschutz/Technische Hilfe;Abschreibungen auf Fahrzeuge;2018;Aufwand;106000
38;Bürgerservice;Einrichtungen der Jugendarbeit - Lagerhalle;Versicherungsbeiträge;2018;Aufwand;300
39;Bürgerservice;Einrichtungen der Jugendarbeit - Lagerhalle;Abschreibungen;2018;Aufwand;2000
40;Bürgerservice;Einrichtungen der Jugendarbeit - Lagerhalle;Energie/Wasser/Abwasser/Abfall;2018;Aufwand;2700
41;Bürgerservice;Einrichtungen der Jugendarbeit - Lagerhalle;Unterhaltung der Grundstücke und Gebäude;2018;Aufwand;3000
42;Bürgerservice;Förderung des Sports;Pauschalierte Lohnsteuer;2018;Aufwand;10
43;Bürgerservice;Förderung des Sports;Leistungszulagen;2018;Aufwand;50
44;Bürgerservice;Förderung des Sports;Versorgungskasse Arbeitnehmer;2018;Aufwand;150
